Opt.,Exec. Time(s),Average Freq. (GHz),Average Power Dissipation(W),Energy Consumption (J) ,Temperature (C)
2mm_o0,24.477516,1.64875,4.749207,116.248779,50.70625
2mm_o1,8.270936,1.81851851851852,6.735003,55.704773,55.537037037037
2mm_o2,7.955149,1.81960784313725,6.948924,55.279724,54.2352941176471
2mm_o3,7.654653,1.808,6.604941,50.558533,55.66
2mm_ofast,7.763946,1.8078431372549,6.483371,50.336548,56.5098039215686
2mm_os,8.972423,1.78070175438596,6.540419,58.683411,56.719298245614
2mm_o0_omp,7.209805,2.07142857142857,11.067023,79.791077,57.9285714285714
2mm_o1_omp,3.412857,1.98571428571429,11.425604,38.993958,58.4285714285714
2mm_o2_omp,3.307797,1.96428571428571,10.638982,35.191589,58.0714285714286
2mm_o3_omp,3.389131,1.94666666666667,10.632206,36.033936,58.2
2mm_ofast_omp,3.293835,2.01428571428571,11.040319,36.364990,59.2857142857143
2mm_os_omp,3.332529,1.94285714285714,11.175664,37.243225,60
